"","PrimaryKey","PlotKey","PlotID","State","SpeciesState","County","ProjectName","PhotoLink","EcologicalSiteId","EcolSiteName","Latitude_NAD83","Longitude_NAD83","DateEstablished","DateVisited","BareSoilCover","TotalFoliarCover","GapCover_25_50","GapCover_51_100","GapCover_101_200","GapCover_200_plus","GapCover_25_plus","SoilStability_All","SoilStability_Protected","SoilStability_Unprotected","AH_NonNoxPerenForbCover","AH_NonNoxAnnForbCover","AH_NonNoxPerenGrassCover","AH_NonNoxAnnGrassCover","AH_NonNoxPerenForbGrassCover","AH_NonNoxAnnForbGrassCover","AH_NonNoxShrubCover","AH_NonNoxSubShrubCover","AH_NonNoxSucculentCover","AH_NonNoxTreeCover","AH_NonNoxCover","AH_NoxPerenForbCover","AH_NoxAnnForbCover","AH_NoxPerenGrassCover","AH_NoxAnnGrassCover","AH_NoxPerenForbGrassCover","AH_NoxAnnForbGrassCover","AH_NoxShrubCover","AH_NoxSubShrubCover","AH_NoxSucculentCover","AH_NoxTreeCover","AH_NoxCover","AH_ForbCover","AH_PerenForbCover","AH_PreferredForbCover","AH_GrassCover","AH_PerenGrassCover","AH_AnnGrassCover","AH_TallPerenGrassCover","AH_ShortPerenGrassCover","AH_PerenForbGrassCover","AH_ShrubCover","AH_SagebrushCover","AH_SagebrushCover_Live","AH_NonSagebrushShrubCover","AH_TotalLitterCover","AH_WoodyLitterCover","AH_HerbLitterCover","FH_NonNoxPerenForbCover","FH_NonNoxAnnForbCover","FH_NonNoxPerenGrassCover","FH_NonNoxAnnGrassCover","FH_NonNoxShrubCover","FH_NonNoxSubShrubCover","FH_NonNoxSucculentCover","FH_NonNoxTreeCover","FH_NoxPerenForbCover","FH_NoxAnnForbCover","FH_NoxPerenGrassCover","FH_NoxAnnGrassCover","FH_NoxShrubCover","FH_NoxSubShrubCover","FH_NoxSucculentCover","FH_NoxTreeCover","FH_SagebrushCover","FH_TotalLitterCover","FH_WoodyLitterCover","FH_HerbLitterCover","FH_DuffCover","FH_EmbLitterCover","FH_VagrLichenCover","FH_LichenCover","FH_MossCover","FH_CyanobacteriaCover","FH_RockCover","FH_WaterCover","FH_DepSoilCover","Hgt_Woody_Avg","Hgt_Herbaceous_Avg","Hgt_Forb_Avg","Hgt_PerenForb_Avg","Hgt_Grass_Avg","Hgt_PerenGrass_Avg","Hgt_NoxPerenGrass_Avg","Hgt_NonNoxPerenGrass_Avg","Hgt_TallPerenGrass_Avg","Hgt_ShortPerenGrass_Avg","Hgt_PerenForbGrass_Avg","Hgt_Shrub_Avg","Hgt_NonSagebrushShrub_Avg","Hgt_Sagebrush_Avg","Hgt_Sagebrush_Live_Avg","SagebrushShape_All_ColumnCount","SagebrushShape_All_SpreadCount","SagebrushShape_All_Predominant","SagebrushShape_Live_ColumnCount","SagebrushShape_Live_SpreadCount","SagebrushShape_Live_Predominant","NumSpp_NoxPlant","Spp_Nox","NumSpp_NonNoxPlant","NumSpp_PreferredForb","Spp_Sagebrush","Spp_PreferredForb","Spp_TallPerenGrass","Spp_ShortPerenGrass","RH_Rills","RH_WaterFlowPatterns","RH_PedestalsTerracettes","RH_BareGround","RH_Gullies","RH_WindScouredAreas","RH_LitterMovement","RH_LitterAmount","RH_SoilSurfResisErosion","RH_SoilSurfLossDeg","RH_PlantCommunityComp","RH_Compaction","RH_FuncSructGroup","RH_DeadDyingPlantParts","RH_AnnualProd","RH_InvasivePlants","RH_ReprodCapabilityPeren","RH_BioticIntegrity","RH_HydrologicFunction","RH_SoilSiteStability","RH_CommentsBI","RH_CommentsHF","RH_CommentsSS","Purpose","PurposeFlag","Design","DesignFlag","created_user","created_date","last_edited_user","last_edited_date","DateLoadedInDb","DBKey","GlobalID","Shape"
"9002","17111313043229692017-09-01","1711131304322969","MHI-353","NM","NM","Otero","New Mexico Las Cruces DO 2017 TriCounty","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/17111313043229692017-09-01","R070DY158NM",NA,32.313528,-104.982506,2017-11-04 18:00:00,2017-11-02 18:00:00,4,57.33333333,13.37333333,23.90666667,10.89333333,5.76,53.93333333,5.72222222,5.66666667,6,2.33333333,0.66666667,37.33333333,0,38.66666667,0.66666667,12.33333333,4.66666667,5.66666667,2.33333333,57.33333333,0,0,0,0,0,0,0,0,0,0,0,3,2.33333333,0,37.33333333,37.33333333,0,14.66666667,4.66666667,38.66666667,12.33333333,0,0,12.33333333,15.66666667,0,15.66666667,1.66666667,0.33333333,33.33333333,0,11,3.33333333,5.33333333,2.33333333,0,0,0,0,0,0,0,0,0,4.33333333,0,4.33333333,0,0,0,0,0,0,34.33333333,0,0,47.2,41.79310345,42,42,41.78571429,41.78571429,NA,41.78571429,43.25,32.33333333,41.79310345,37.2,37.2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,64,0,NA,NA,"SPCR","BOER4; BOGR2; DAPU7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planning","Land Use Plan Effectiveness","Random","Revisit Base Plot","DBROWNING",2020-04-06 14:10:51,"ILMOCAIMDBO",2022-01-13 12:28:36,"2017-09-01","NM_LasCrucesDO_TriCountyLUP_2017_5-3b_01.mdb","{18EDEF51-AFA8-4CF3-9288-6D1E03AC67BB}",c(-104.982506, 32.3135280000001)
"9003","1708210757216432017-09-01","170821075721643","SA-405","NM","NM","Doña Ana","New Mexico Las Cruces DO 2017 TriCounty","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/1708210757216432017-09-01","R042XB024NM",NA,32.13499,-107.069494,2017-08-16 18:00:00,2017-08-16 18:00:00,31.66666667,33,3.2,6.93333333,17.52,41.26666667,68.92,1.16666667,1.5,1,3.66666667,9,1,0,4.33333333,9,21,2.33333333,0,0,33,0,0,0,0,0,0,0,0,0,0,0,12.66666667,3.66666667,0,1,1,0,0,1,4.33333333,21,0,0,21,46,1.33333333,44.66666667,3,7,0.66666667,0,21,1.33333333,0,0,0,0,0,0,0,0,0,0,0,24.33333333,1,23.33333333,0,0,0,0,0,0,11,0,0,77.33333333,9.72,10.5,12.25,4,4,NA,4,NA,4,10,77.33333333,77.33333333,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,21,0,NA,NA,"MUPO2","DAPU7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planning","Land Use Plan Effectiveness","Random","Revisit Base Plot","DBROWNING",2020-04-06 14:10:51,"ILMOCAIMDBO",2022-01-13 12:28:36,"2017-09-01","NM_LasCrucesDO_TriCountyLUP_2017_5-3b_01.mdb","{E6571D4E-4BE2-4D07-8732-60746C022973}",c(-107.069494, 32.1349900000001)
"9004","17090813301867912017-09-01","1709081330186791","SA-403","NM","NM","Otero","New Mexico Las Cruces DO 2017 TriCounty","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/17090813301867912017-09-01","R042XB012NM",NA,32.613206,-106.053596,2017-09-05 18:00:00,2017-09-05 18:00:00,81,9.66666667,0.81333333,0,9.09333333,81.70666667,91.61333333,1.11111111,NA,1.11111111,2,0,0,0,2,0,7.66666667,0,0,0,9.66666667,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,7.66666667,0,0,7.66666667,15,1,14,2,0,0,0,7.66666667,0,0,0,0,0,0,0,0,0,0,0,0,9.33333333,0.66666667,8.66666667,0,0,0,0,0,0,0,0,0,72,10.625,12.30769231,15.4,3.33333333,3.33333333,NA,3.33333333,NA,3.33333333,12.61538462,72,72,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,17,0,NA,NA,NA,"BOER4; BOGR2; DAPU7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planning","Land Use Plan Effectiveness","Random","Revisit Base Plot","DBROWNING",2020-04-06 14:10:51,"ILMOCAIMDBO",2022-01-13 12:28:36,"2017-09-01","NM_LasCrucesDO_TriCountyLUP_2017_5-3b_01.mdb","{99BBA7BE-0031-4CCB-A23A-012CB63FED13}",c(-106.053596, 32.613206)
"9005","17082211113693142017-09-01","1708221111369314","GR-078","NM","NM","Sierra","New Mexico Las Cruces DO 2017 TriCounty","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/17082211113693142017-09-01","R042XB035NM",NA,33.296445,-107.39354,2017-08-21 18:00:00,2017-08-21 18:00:00,4.33333333,21,2.57333333,17.81333333,23.09333333,36.38666667,79.86666667,2.77777778,2.875,2.7,3.66666667,0,2.33333333,0,5.66666667,0,12.33333333,5.33333333,0,0,21,0,0,0,0,0,0,0,0,0,0,0,3.66666667,3.66666667,0,2.33333333,2.33333333,0,2,0.33333333,5.66666667,12.33333333,0,0,12.33333333,8,1,7,3,0,1.66666667,0,12.33333333,4,0,0,0,0,0,0,0,0,0,0,0,3,0.66666667,2.33333333,0,0,0,0,0,0,71.66666667,0,0,42.70588235,10.59090909,9.1875,9,14.33333333,14.33333333,NA,14.33333333,23.66666667,5,10.52380952,47.16666667,47.16666667,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,22,0,NA,NA,"MUPO2","DAPU7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planning","Land Use Plan Effectiveness","Random","Revisit Base Plot","DBROWNING",2020-04-06 14:10:51,"ILMOCAIMDBO",2022-01-13 12:28:36,"2017-09-01","NM_LasCrucesDO_TriCountyLUP_2017_5-3b_01.mdb","{6B1CADAE-EDCB-4273-9E34-0FBA1969FD28}",c(-107.39354, 33.2964450000001)
"9006","17082409330352362017-09-01","1708240933035236","GR-081","NM","NM","Sierra","New Mexico Las Cruces DO 2017 TriCounty","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/17082409330352362017-09-01","R042XB024NM",NA,32.855861,-107.27639,2017-08-23 18:00:00,2017-08-23 18:00:00,9.33333333,37,2.65333333,5.08,10.45333333,41.90666667,60.09333333,3.5,5.57142857,2.18181818,3.33333333,1,0,0,3.33333333,1,34.66666667,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,4.33333333,3.33333333,0,0,0,0,0,0,3.33333333,34.66666667,0,0,34.66666667,30.33333333,3.66666667,28,2.33333333,0,0,0,34.66666667,0,0,0,0,0,0,0,0,0,0,0,0,8.66666667,0.33333333,8.33333333,0,0,0,0,0,0,45,0,0,109.52941176,16.8125,17.6,19.6,5,5,NA,5,NA,5,17.16666667,109.52941176,109.52941176,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,33,0,NA,NA,NA,"DAPU7; BOER4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planning","Land Use Plan Effectiveness","Random","Revisit Base Plot","DBROWNING",2020-04-06 14:10:51,"ILMOCAIMDBO",2022-01-13 12:28:36,"2017-09-01","NM_LasCrucesDO_TriCountyLUP_2017_5-3b_01.mdb","{ABF6DF8F-B147-40BA-99DC-40669AEDF4A2}",c(-107.27639, 32.8558610000001)
"9007","1708030847324132017-09-01","170803084732413","GR-076","NM","NM","Dona Ana","New Mexico Las Cruces DO 2017 TriCounty","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/1708030847324132017-09-01","R042XB010NM",NA,32.31488,-106.68698,2017-08-02 18:00:00,2017-08-02 18:00:00,3.33333333,39,4.05333333,12.44,24.52,9.46666667,50.48,1.16666667,1.25,1,0,0,0.66666667,0,0.66666667,0,38.66666667,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66666667,0.66666667,0,0.66666667,0,0.66666667,38.66666667,0,0,38.66666667,22.33333333,0.33333333,22,0,0,0.33333333,0,38.66666667,0,0,0,0,0,0,0,0,0,0,0,0,9.66666667,0,9.66666667,0,0,0,0,0,0,48,0,0,70.86956522,12,12,NA,NA,NA,NA,NA,NA,NA,NA,70.86956522,70.86956522,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,15,0,NA,NA,"MUPO2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planning","Land Use Plan Effectiveness","Random","Revisit Base Plot","DBROWNING",2020-04-06 14:10:51,"ILMOCAIMDBO",2022-01-13 12:28:36,"2017-09-01","NM_LasCrucesDO_TriCountyLUP_2017_5-3b_01.mdb","{2AF080FA-8D81-419D-810D-AD1BBD9712FB}",c(-106.68698, 32.3148800000001)
"9008","17080910262395282017-09-01","1708091026239528","GRS-161","NM","NM","Luna","New Mexico Las Cruces DO 2017 TriCounty","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/17080910262395282017-09-01","R042XB010NM",NA,32.74331476,-107.24262409,2017-08-08 18:00:00,2017-08-08 18:00:00,6,24.33333333,9.24,21.12,18.68,31.4,80.44,3.55555556,4.33333333,2,9,1.66666667,6.33333333,0.66666667,15,2.33333333,9.33333333,1.66666667,0,0,24.33333333,0,0,0,0,0,0,0,0,0,0,0,10.33333333,9,0,7,6.33333333,0.66666667,1.66666667,2.33333333,15,9.33333333,0,0,9.33333333,22,2.66666667,19.33333333,7.33333333,1.33333333,4.66666667,0.66666667,9.33333333,1,0,0,0,0,0,0,0,0,0,0,0,11.66666667,2.33333333,9.33333333,0,0,0,0,0,0,58,0,0,43.45454545,12.10714286,9.8,9.8,17.875,16.85714286,NA,16.85714286,26,NA,11.62962963,47.5,47.5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,28,0,NA,NA,"MUPO2","DAPU7; VUOC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planning","Land Use Plan Effectiveness","Random","Revisit Base Plot","DBROWNING",2020-04-06 14:10:51,"ILMOCAIMDBO",2022-01-13 12:28:36,"2017-09-01","NM_LasCrucesDO_TriCountyLUP_2017_5-3b_01.mdb","{CD9609C7-D878-4E49-A612-5317F9865326}",c(-107.24262409, 32.74331476)
"9009","17080811053859472017-09-01","1708081105385947","HI-206","NM","NM","Dona Ana","New Mexico Las Cruces DO 2017 TriCounty","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/17080811053859472017-09-01","R042XB021NM",NA,32.61333687,-106.97508796,2017-08-07 18:00:00,2017-08-07 18:00:00,14.66666667,25.33333333,4.82666667,8.73333333,20.98666667,45.48,80.02666667,2.44444444,3.16666667,2.08333333,1.66666667,0.33333333,4.33333333,0.66666667,6,1,18.66666667,1,0.66666667,0,25.33333333,0,0,0,0,0,0,0,0,0,0,0,2,1.66666667,0,5,4.33333333,0.66666667,1,3.66666667,6,18.66666667,0,0,18.66666667,22.33333333,1.33333333,21,1.33333333,0.33333333,3.33333333,0.66666667,18.66666667,0.33333333,0.66666667,0,0,0,0,0,0,0,0,0,0,8.33333333,1,7.33333333,0,0,0,0,0,0,51.66666667,0,0,47.1875,9.47619048,17,8,6.46666667,6.8,NA,6.8,NA,7.63636364,7.2,49.13333333,49.13333333,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,29,0,NA,NA,"MUPO2","DAPU7; ARPU9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planning","Land Use Plan Effectiveness","Random","Revisit Base Plot","DBROWNING",2020-04-06 14:10:51,"ILMOCAIMDBO",2022-01-13 12:28:36,"2017-09-01","NM_LasCrucesDO_TriCountyLUP_2017_5-3b_01.mdb","{DC059B92-4CC3-4423-B515-C643F0406E44}",c(-106.97508796, 32.6133368700001)
"9011","1708101559494342017-09-01","170810155949434","SA-401","NM","NM","Dona Ana","New Mexico Las Cruces DO 2017 TriCounty","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/1708101559494342017-09-01","R042XB012NM",NA,32.6213336,-106.8831206,2017-08-09 18:00:00,2017-08-09 18:00:00,45.66666667,28.33333333,12.92,21.97333333,21.12,13.66666667,69.68,2.16666667,1.8,2.30769231,12,1.66666667,1.33333333,3.33333333,13.33333333,5,2.33333333,11.66666667,0,0,28.33333333,0,0,0,0,0,0,0,0,0,0,0,13.33333333,12,0,4.66666667,1.33333333,3.33333333,0.66666667,1,13.33333333,2.33333333,0,0,2.33333333,26.33333333,1.66666667,24.66666667,10.66666667,1.33333333,0.66666667,2,2,11.66666667,0,0,0,0,0,0,0,0,0,0,0,15,1.33333333,13.66666667,0,0,0,0,0,0,11,0,0,32.90909091,10.85714286,9.81818182,10.23809524,14.66666667,40,NA,40,40,21.5,11.59090909,46,46,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,30,0,NA,NA,"MUPO2","ARPU9; DAPU7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planning","Land Use Plan Effectiveness","Random","Revisit Base Plot","DBROWNING",2020-04-06 14:10:51,"ILMOCAIMDBO",2022-01-13 12:28:36,"2017-09-01","NM_LasCrucesDO_TriCountyLUP_2017_5-3b_01.mdb","{2C247487-10FF-456D-9392-A5DD54B2BAF7}",c(-106.8831206, 32.6213336000001)
"9012","17081715524538602017-09-01","1708171552453860","SA-404","NM","NM","Dona Ana","New Mexico Las Cruces DO 2017 TriCounty","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/17081715524538602017-09-01","R042XB012NM",NA,32.745135,-106.8725371,2017-08-16 18:00:00,2017-08-16 18:00:00,65.66666667,23.66666667,2.73333333,0,3.09333333,68.22666667,74.05333333,2.22222222,4.16666667,1.25,0,0,0,0,0,0,23.66666667,0,0,0,23.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66666667,0,0,23.66666667,21,3.66666667,18.33333333,0,0,0,0,23.66666667,0,0,0,0,0,0,0,0,0,0,0,0,10,2,8,0,0,0,0,0,0,0.66666667,0,0,54.76923077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.76923077,54.76923077,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planning","Land Use Plan Effectiveness","Random","Revisit Base Plot","DBROWNING",2020-04-06 14:10:51,"ILMOCAIMDBO",2022-01-13 12:28:36,"2017-09-01","NM_LasCrucesDO_TriCountyLUP_2017_5-3b_01.mdb","{EF966A77-B387-4B49-9C95-80FE78AE18AC}",c(-106.8725371, 32.7451350000001)
"9013","17091114580161472017-09-01","1709111458016147","SA-406","NM","NM","Dona Ana","New Mexico Las Cruces DO 2017 TriCounty","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/17091114580161472017-09-01","R042XB012NM",NA,32.0981315,-106.8371695,2017-09-10 18:00:00,2017-09-10 18:00:00,64.66666667,23.66666667,0.8,0.77333333,6.93333333,65.46666667,73.97333333,1.27777778,1.83333333,1,1,0.33333333,0,0,1,0.33333333,21.33333333,2,0,0,23.66666667,0,0,0,0,0,0,0,0,0,0,0,1.33333333,1,0,0,0,0,0,0,1,21.33333333,0,0,21.33333333,25,2,24.33333333,0.66666667,0,0,0,21.33333333,1.66666667,0,0,0,0,0,0,0,0,0,0,0,8.66666667,1,7.66666667,0,0,0,0,0,0,3,0,0,75.22222222,17.33333333,17.33333333,25.5,NA,NA,NA,NA,NA,NA,25.5,92.14285714,92.14285714,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planning","Land Use Plan Effectiveness","Random","Revisit Base Plot","DBROWNING",2020-04-06 14:10:51,"ILMOCAIMDBO",2022-01-13 12:28:36,"2017-09-01","NM_LasCrucesDO_TriCountyLUP_2017_5-3b_01.mdb","{7CE5FEF8-2FBC-4A76-ABA8-02D9493EF14A}",c(-106.8371695, 32.0981315000001)
"9014","17080816441181412017-09-01","1708081644118141","SA-432","NM","NM","Dona Ana","New Mexico Las Cruces DO 2017 TriCounty","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/17080816441181412017-09-01","R042XB012NM",NA,32.67354,-106.95176,2017-08-07 18:00:00,2017-08-07 18:00:00,49.66666667,28.33333333,12.98666667,22.6,21.89333333,14.32,71.8,4.05555556,4.4,3.92307692,4.66666667,5,1.66666667,4.33333333,6,9.33333333,3.33333333,12.66666667,0,0,28.33333333,0,0,0,0,0,0,0,0,0,0,0,9.33333333,4.66666667,0,6,1.66666667,4.33333333,1.66666667,0,6,3.33333333,0,0,3.33333333,33.66666667,1.66666667,32.33333333,3.66666667,5,1.33333333,4,3.33333333,11,0,0,0,0,0,0,0,0,0,0,0,21,1.66666667,19.33333333,0,0,0,0,0,0,1,0,0,49.23076923,12.89285714,13.13043478,10.75,11.8,37,NA,37,37,NA,12,59,59,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,26,0,NA,NA,"MUPO2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planning","Land Use Plan Effectiveness","Random","Revisit Base Plot","DBROWNING",2020-04-06 14:10:51,"ILMOCAIMDBO",2022-01-13 12:28:36,"2017-09-01","NM_LasCrucesDO_TriCountyLUP_2017_5-3b_01.mdb","{003EECD9-3678-49A1-A011-CC95B678D304}",c(-106.95176, 32.6735400000001)
"9015","17081009553679232017-09-01","1708100955367923","LO-276","NM","NM","Sierra","New Mexico Las Cruces DO 2017 TriCounty","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/17081009553679232017-09-01","R042XB035NM",NA,33.28898977,-106.82477847,2017-08-09 18:00:00,2017-08-09 18:00:00,11.33333333,18.66666667,4.54666667,8.24,20.18666667,47.62666667,80.6,2.88888889,3.5,2.58333333,0.33333333,0.66666667,4.66666667,2,5,2.66666667,13,0.33333333,0,0,18.66666667,0,0,0,0,0,0,0,0,0,0,0,1,0.33333333,0,6.66666667,4.66666667,2,2.33333333,4.33333333,5,13,0,0,13,10.66666667,1,10,0,0.33333333,3.33333333,2,13,0,0,0,0,0,0,0,0,0,0,0,0,6,0.33333333,5.66666667,0,0,0,0,0,0,64,0,0,55.33333333,9.78571429,11,8.66666667,8.875,7.66666667,NA,7.66666667,28,6.14285714,7.83333333,55.33333333,55.33333333,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,22,0,NA,NA,"MUPO2; BOCU","DAPU7; ARPU9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planning","Land Use Plan Effectiveness","Random","Revisit Base Plot","DBROWNING",2020-04-06 14:10:51,"ILMOCAIMDBO",2022-01-13 12:28:36,"2017-09-01","NM_LasCrucesDO_TriCountyLUP_2017_5-3b_01.mdb","{816A077F-0BB2-4BCE-BEA2-702D4A86B472}",c(-106.82477847, 33.2889897700001)
"9016","17081511030918752017-09-01","1708151103091875","LO-277","NM","NM","Sierra","New Mexico Las Cruces DO 2017 TriCounty","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/17081511030918752017-09-01","R042XB035NM",NA,32.923745,-106.859941,2017-08-14 18:00:00,2017-08-14 18:00:00,36.66666667,10,2.21333333,6.32,16.34666667,65.45333333,90.33333333,1.33333333,1,1.42857143,0.66666667,0.33333333,2,0,2.66666667,0.33333333,2.33333333,6.33333333,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0.66666667,0,2,2,0,1.66666667,0.33333333,2.66666667,2.33333333,0,0,2.33333333,18,2,16,0,0.33333333,1.33333333,0,2.33333333,6,0,0,0,0,0,0,0,0,0,0,0,12.33333333,1.33333333,11,0,0,0,0,0,0,41,0,0,31.71428571,6.91666667,8.38888889,7.33333333,2.5,2.5,NA,2.5,NA,2.5,4.91666667,29,29,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,30,0,NA,NA,"MUPO2","DAPU7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planning","Land Use Plan Effectiveness","Random","Revisit Base Plot","DBROWNING",2020-04-06 14:10:51,"ILMOCAIMDBO",2022-01-13 12:28:36,"2017-09-01","NM_LasCrucesDO_TriCountyLUP_2017_5-3b_01.mdb","{7AFB39D4-1C47-40C5-8F2F-0CE64EC86942}",c(-106.859941, 32.9237450000001)
"9018","17092515443136452017-09-01","1709251544313645","BO-021","NM","NM","Sierra","New Mexico Las Cruces DO 2017 TriCounty","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/17092515443136452017-09-01","R042XB006NM",NA,33.44942,-106.753041,2017-09-23 18:00:00,2017-09-23 18:00:00,28.66666667,55,13.38666667,14.6,18.96,6.62666667,53.57333333,2.55555556,3.33333333,2.16666667,2.33333333,0.33333333,46.66666667,0,48,0.33333333,9.66666667,1.66666667,0,0,55,0,0,0,0,0,0,0,0,0,0,0,2.66666667,2.33333333,0,46.66666667,46.66666667,0,0,0,48,9.66666667,0,0,9.66666667,58.33333333,5,57,1,0.33333333,42.66666667,0,9.66666667,1.33333333,0,0,0,0,0,0,0,0,0,0,0,16.33333333,1,15.33333333,0,0,0,0,0,0,0,0,0,101.28571429,44.35714286,14,24,46.69230769,46.69230769,NA,46.69230769,NA,NA,45.85185185,105.16666667,105.16666667,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,25,0,NA,NA,NA,"DAPU7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planning","Land Use Plan Effectiveness","Random","Revisit Base Plot","DBROWNING",2020-04-06 14:10:51,"ILMOCAIMDBO",2022-01-13 12:28:36,"2017-09-01","NM_LasCrucesDO_TriCountyLUP_2017_5-3b_01.mdb","{CDD5D9DA-BF72-4601-B436-55647E92DAA2}",c(-106.753041, 33.44942)
"9019","17100814085527592017-09-01","1710081408552759","BOO-051","NM","NM","Otero","New Mexico Las Cruces DO 2017 TriCounty","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/17100814085527592017-09-01","R042XC017NM",NA,32.2629988,-105.1344333,2017-10-02 18:00:00,2017-10-02 18:00:00,18,76.66666667,1.78666667,2.49333333,10.18666667,2.77333333,17.24,4.44444444,4.8,2.66666667,2.66666667,1,58.66666667,0,61,1,28.33333333,0,0,0,76.66666667,0,0,0,0,0,0,0,0,0,0,0,3.66666667,2.66666667,0,58.66666667,58.66666667,0,5.66666667,0,61,28.33333333,0,0,28.33333333,73.66666667,2,72.33333333,1.33333333,0.33333333,47,0,28,0,0,0,0,0,0,0,0,0,0,0,0,5.33333333,0,5.33333333,0,0,0,0,0,0,0,0,0,129.25,42.03333333,31,31,44.79166667,44.79166667,NA,44.79166667,65,NA,42.03333333,129.25,129.25,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,33,0,NA,NA,"MUPO2","BOER4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planning","Land Use Plan Effectiveness","Random","Revisit Base Plot","DBROWNING",2020-04-06 14:10:51,"ILMOCAIMDBO",2022-01-13 12:28:36,"2017-09-01","NM_LasCrucesDO_TriCountyLUP_2017_5-3b_01.mdb","{4906CFEF-561B-44DA-BD60-8DB9BDFE8A56}",c(-105.1344333, 32.2629988)
